,transcription,emotions,audio,label
14,"Clearly. You know, do you have like a supervisor or something?","{'Neutral': 0.3333333333333333, 'Disgust': 0.3333333333333333, 'Frustration': 0.16666666666666666, 'Anger': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,Neutral
15,That would - I would appreciate that. Yeah.,"{'Frustration': 0.8, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,Frustration
16,Do you have your forms?,"{'Frustration': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,Frustration
17,Let me see them.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,Frustration
18,Who told you to get in this line?,"{'Anger': 0.4, 'Frustration': 0.6}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,Frustration
19,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,"{'Frustration': 0.8, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,Frustration
20,This form is a Z.X.four.,"{'Frustration': 0.6, 'Anger': 0.4}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,Frustration
21,"You can't-- This is not the line for Z.X.four. If you're going to fill out the Z.X.four, you need to have a different form of ID.","{'Frustration': 0.5, 'Disgust': 0.16666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,Frustration
22,No. I need another set of ID to prove this is actually you.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,Frustration
23,I don't know. But I need an ID to pass this form along. I can't just send it along without an ID.,"{'Frustration': 0.75, 'Anger': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,Frustration
24,"No. I need another ID, a separate one.","{'Frustration': 0.6666666666666666, 'Disgust': 0.16666666666666666, 'Anger': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,Frustration
25,"A birth certificate, a passport...a student ID; didn't you go to school? Anything?","{'Frustration': 0.6, 'Disgust': 0.2, 'Neutral': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,Frustration
26,"Yeah. We keep it on file, but we need an ID to access that file.","{'Frustration': 0.5, 'Disgust': 0.16666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,Frustration
27,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,"{'Anger': 0.5, 'Disgust': 0.16666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,Anger
29,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,"{'Anger': 0.8, 'Frustration': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,Anger
30,Did you get the mail? So you saw my letter?,"{'Sadness': 0.6, 'Fear': 0.2, 'Neutral': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,Sadness
31,Yeah. I know.,"{'Sadness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,Sadness
32,I don't know. I put in that. request too. They didn't...,"{'Sadness': 0.6, 'Neutral': 0.2, 'Frustration': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,Sadness
33,"I guess, you know, everybody has to make sacrifices.","{'Sadness': 0.4, 'Neutral': 0.4, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,Neutral
34,"There's people that have given more though, you know?","{'Sadness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,Sadness
35,I know.,"{'Sadness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,Sadness
36,"There's babies over there, though, that need mothers.","{'Sadness': 0.4, 'Neutral': 0.4, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,Neutral
38,"Just, you know, kicking myself.","{'Sadness': 0.42857142857142855, 'Frustration': 0.2857142857142857, 'Anger': 0.14285714285714285, 'Neutral': 0.14285714285714285}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,Sadness
40,things just aren't what they seem.,"{'Sadness': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,Sadness
42,"If not me then, who?","{'Sadness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,Sadness
43,"You'll videotape everything, yeah?","{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,Sadness
44,"Maybe you can send it to me, like stream it, yeah?","{'Sadness': 0.8, 'Happiness': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,Sadness
45,Last month-- Yeah.,{'Sadness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,Sadness
46,I have to find sitters.,"{'Sadness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,Neutral
47,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.","{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,Sadness
48,And your mother is close by.,"{'Sadness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,Neutral
49,I'll send you lots of letters.,"{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,Sadness
50,And I want lots and lots and lots of pictures.,"{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,Sadness
52,"I don't understand. You've already done so much, I don't know why do you have to go back.","{'Sadness': 0.6, 'Frustration': 0.2, 'Neutral': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,Sadness
54,I just don't see how they can make you leave when you have a new baby - we have a new kid.,"{'Anger': 0.2, 'Frustration': 0.4, 'Sadness': 0.4}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,Frustration
56,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,"{'Sadness': 0.6, 'Frustration': 0.4}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,Sadness
59,I know.,"{'Frustration': 0.5, 'Neutral': 0.25, 'Sadness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,Frustration
60,I just don't see why it has to be you.,"{'Sadness': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,Sadness
61,What am I going to do? Huh?,"{'Sadness': 0.6, 'Fear': 0.2, 'Frustration': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,Sadness
62,Yeah.,"{'Sadness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,Sadness
63,Don't you guys have access to computers over there.,"{'Sadness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,Neutral
64,I just don't know how I'm going to do it without you.,"{'Sadness': 0.8, 'Fear': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,Sadness
65,I can't raise a baby by myself. How?,"{'Sadness': 0.75, 'Fear': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,Sadness
66,I know.,"{'Sadness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,Neutral
67,It's just not fair.,"{'Anger': 0.16666666666666666, 'Fear': 0.16666666666666666, 'Frustration': 0.3333333333333333, 'Sadness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav,Frustration
68,Well Vegas was awesome.,"{'Happiness': 0.8, 'Excited': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,Happiness
69,"And, um, I got married.","{'Excited': 0.4, 'Happiness': 0.6}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,Happiness
70,Yeah. In the old town part.,"{'Excited': 0.4, 'Happiness': 0.6}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,Happiness
72,Um- Yes. It was very romantic.,"{'Excited': 0.4, 'Happiness': 0.6}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,Happiness
73,It was at the slot machines.,"{'Excited': 0.25, 'Happiness': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,Happiness
74,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.","{'Excited': 0.25, 'Happiness': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,Happiness
76,"Yeah. Well. You know, because he's leaving the next day.","{'Excited': 0.25, 'Happiness': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,Happiness
77,But we're going to have a honeymoon cruise.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,Happiness
78,Oh. I hadn't even thought about that.,"{'Happiness': 0.6, 'Excited': 0.2, 'Surprise': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,Happiness
80,Oh. Totally.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,Happiness
81,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],"{'Excited': 0.4, 'Happiness': 0.6}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,Happiness
83,"Yeah, so [LAUGHTER] He's calling me now","{'Excited': 0.6, 'Happiness': 0.4}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,Happiness
84,"He likes to keep tabs, you know.","{'Excited': 0.25, 'Happiness': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,Happiness
85,"Uh, I think seven hundred and fifty dollars.","{'Excited': 0.25, 'Neutral': 0.5, 'Happiness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,Neutral
86,Penny slots. That's what he plays.,"{'Happiness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,Neutral
87,Yeah.,"{'Happiness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,Neutral
89,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,"{'Happiness': 0.75, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,Happiness
90,Fifty bucks. Mmhmm.,"{'Neutral': 0.75, 'Happiness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav,Neutral
91,Yeah.,"{'Happiness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav,Neutral
92,Well so now we're married. We have cat children.,"{'Happiness': 0.6666666666666666, 'Excited': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav,Happiness
93,"We renamed Brenda, Lumber Janet.","{'Happiness': 0.6666666666666666, 'Excited': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav,Happiness
94,She needs a new name each state that we go into. [LAUGHTER],"{'Happiness': 0.8, 'Excited': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav,Happiness
95,So what's up? What's new?,"{'Happiness': 0.25, 'Neutral': 0.5, 'Excited': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,Neutral
96,Yeah. I heard.,"{'Surprise': 0.25, 'Neutral': 0.5, 'Excited': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,Neutral
98,Who did you marry?,"{'Excited': 0.6, 'Surprise': 0.2, 'Happiness': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,Happiness
101,He turned to you and was like...,"{'Happiness': 0.5, 'Neutral': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,Neutral
102,[LAUGHTER] That's really romantic.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,Happiness
103,Yeah.,"{'Happiness': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,Neutral
104,"Does that mean that you're going to get citizenship, too, in- in England or whatever?","{'Excited': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,Neutral
106,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,"{'Happiness': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,Neutral
108,Like you need another one of those.[LAUGHTER],"{'Happiness': 0.6666666666666666, 'Excited': 0.16666666666666666, 'Neutral': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,Happiness
109,Is that your phone?,"{'Happiness': 0.75, 'Excited': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,Happiness
110,He loves you.,"{'Excited': 0.25, 'Happiness': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,Happiness
111,How much did he win at the slot?,"{'Happiness': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,Neutral
114,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,Neutral
115,"But the pennies always get you because you end up spending like, you know, fifty bucks.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,Neutral
116,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav,Neutral
117,Awesome.,"{'Excited': 0.75, 'Happiness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M022.wav,Happiness
118,[LAUGHTER] Cat babies.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav,Happiness
119,That's fair enough.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav,Neutral
120,"Uh, what? Craig's List? Oh the internet thing?","{'Frustration': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,Neutral
121,I don't know. Isn't that-- that's all like escort services and things like that.,"{'Frustration': 0.2, 'Neutral': 0.6, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,Neutral
122,"I don't know. I mean I've been looking for so long that I just figured that-- I mean, I think things like Monster are a lot more reliable than just some random free board.","{'Frustration': 0.4, 'Neutral': 0.4, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F002.wav,Frustration
125,He just...,"{'Frustration': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,Neutral
126,you know what? I heard about that job. I applied for that.,"{'Frustration': 0.25, 'Neutral': 0.75}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,Neutral
127,Yeah. I saw a posting at the theatre.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.3333333333333333, 'Excited': 0.16666666666666666, 'Anger': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F007.wav,Frustration
129,Yeah.,"{'Frustration': 0.2, 'Neutral': 0.4, 'Disgust': 0.2, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,Neutral
133,I just- I mean I call people up and I tell them what I'm good at.,"{'Frustration': 0.2, 'Neutral': 0.4, 'Disgust': 0.2, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,Neutral
134,Yeah.,"{'Frustration': 0.2, 'Neutral': 0.4, 'Excited': 0.2, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,Neutral
136,I'm there in front of them. I'm telling them what I'm good at.,"{'Frustration': 0.8, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F016.wav,Frustration
137,Why? It's a piece of paper.,"{'Frustration': 0.5, 'Anger': 0.3333333333333333, 'Excited': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F017.wav,Frustration
138,"I just don't want this paper trail, you know. I just don't want things following me around, like-.","{'Frustration': 0.4, 'Anger': 0.4, 'Excited': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F018.wav,Frustration
139,"It's just-- You know, I've had this problem before. You're not the first person to tell me that I need a resume but...","{'Frustration': 0.5, 'Anger': 0.3333333333333333, 'Disgust': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F019.wav,Frustration
141,"That's baloney, that's baloney.","{'Frustration': 0.5, 'Anger': 0.25, 'Disgust': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F021.wav,Frustration
142,Please.,"{'Frustration': 0.4, 'Anger': 0.4, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F022.wav,Frustration
143,you think that you're better than me because I don't have a car?,"{'Frustration': 0.5, 'Anger': 0.3333333333333333, 'Disgust': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F023.wav,Frustration
144,"You know, you're riding the bus, too.","{'Frustration': 0.4, 'Anger': 0.4, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F024.wav,Frustration
145,Why? What choice?,"{'Frustration': 0.6, 'Anger': 0.2, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F025.wav,Frustration
146,You're saving the environment. mmhmm,"{'Frustration': 0.4, 'Anger': 0.4, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F026.wav,Frustration
147,Interesting. That's fantastic.,"{'Frustration': 0.4, 'Anger': 0.4, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F027.wav,Frustration
148,I'm not frustrated.,"{'Anger': 0.5, 'Frustration': 0.16666666666666666, 'Excited': 0.16666666666666666, 'Disgust': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,Anger
149,Who do you think you are?,"{'Anger': 0.6, 'Frustration': 0.2, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,Anger
150,You are so high and mighty. I just--,"{'Anger': 0.6666666666666666, 'Excited': 0.16666666666666666, 'Surprise': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,Anger
151,Oh. I'm saving the environment. I'm riding this car because I- I want to.,"{'Anger': 0.6666666666666666, 'Frustration': 0.16666666666666666, 'Disgust': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,Anger
152,"The bus, I'm riding the bus because I want to.","{'Anger': 0.5, 'Frustration': 0.3333333333333333, 'Disgust': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,Anger
153,I can not-- you are not here by choice. Nobody would ride this bus by choice.,"{'Anger': 0.8, 'Disgust': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,Anger
154,"Have you tried, uh, Craig's List?",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,Neutral
155,Yeah.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,Neutral
156,No. There's regular jobs on there.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,Neutral
157,Uh huh.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav,Neutral
158,I'm just saying I have a friend that got a good job on it so I was just recommending it.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav,Neutral
159,He's like a manager for a theatre.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav,Neutral
160,He's like a house manager. Yeah. It's a good job.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav,Neutral
161,You did?,"{'Neutral': 0.5, 'Surprise': 0.5}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,Neutral
162,Yeah.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav,Neutral
163,You've been looking for a job for a long time; that was a long time ago. Right?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav,Neutral
164,Hmm.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav,Neutral
165,I don't know. He had a really good resume I guess and--,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav,Neutral
166,Yeah. Do you have a resume?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav,Neutral
